artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Luke Combs,Fast Car,1Lo0QY9cvc8sUB2vnIOxDT,92,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,265493,4
Eslabon Armado,Ella Baila Sola,3dnP0JxCgygwQH9Gm7q7nb,98,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,165671,3
Grupo Frontera,un x100to,6pD0ufEQq0xdHSsRbg9LBK,99,0.569,0.724,6,-4.076,0,0.0474,0.228,0.0,0.27,0.562,83.118,194563,4
Morgan Wallen,Last Night,59uQI0PADDKeE6UZDTJEe8,91,0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,163855,4
Yng Lvcas,La Bebe - Remix,2UW7JaomAMuX9pZrjVpHAU,99,0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,234353,4
PinkPantheress,Boy's a Liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,95,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,131013,4
Bad Bunny,WHERE SHE GOES,7ro0hRteUMfnOioTFI5TG1,100,0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,231704,4
Olivia Rodrigo,vampire,3k79jB4aGmMDUQzEwa46Rz,96,0.511,0.532,5,-5.745,1,0.056,0.169,0.0,0.311,0.322,137.827,219724,4
Gunna,fukumean,4rXLjWdF2ZZpXCVTfWcshS,92,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,125040,4
FIFTY FIFTY,Cupid - Twin Ver.,7FbrGaHYVDmfr7KoLIZnQ7,98,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,174253,4
Drake,Search & Rescue,7aRCf5cLOFN1U7kvtChY1G,90,0.817,0.44,10,-8.482,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,272113,4
Morgan Wallen,Thinkin’ Bout Me,0PAcdVzhPO4gq1Iym9ESnK,88,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,177388,4
Lil Durk,All My Life (feat. J. Cole),6HgWWaMu31KdOpEG5l28BG,92,0.829,0.436,3,-8.205,1,0.327,0.15,0.0,0.0954,0.693,143.031,223204,4
Metro Boomin,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",5rurggqwwudn9clMdcchxT,94,0.631,0.535,0,-7.836,1,0.0842,0.464,0.0,0.115,0.22,140.127,219453,4
Kaliii,Area Codes,7sliFe6W30tPBPh6dvZsIH,91,0.823,0.388,1,-10.867,1,0.491,0.0187,0.0,0.0876,0.507,154.569,139326,4
Morgan Wallen,You Proof,5W4kiM2cUYBJXKRudNyxjW,87,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,157478,4
David Kushner,Daylight,1odExI7RdWc4BT515LTAwj,98,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,212954,4
